待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
ふわふわことばなんて聞こえないよ・・・,听不到什么轻飘飘的话语哦・・・
ミギー,米奇
お父さんのモノマネうまいね,模仿爸爸真像呢
お父さんの真似だッピね！,是模仿爸爸pi呢！
生きてる小4まりなだ,是活着的初4真理奈
メスガキまりなちゃん,雌小鬼真理奈酱
髪キッシキシで草,头发硬邦邦的草
元気やな,很有精神呢
確かに元通りやな,确实回到原样了呢
わからせおじさんに人気,在懂事大叔里很有人气
お前の元気そうな顔を拝めて クソうざかったはずなのに、どうして嬉しいんだろうっ,能看到你很有精神的样子 本该觉得超烦的，为什么会开心呢
まりなちゃん可愛ええ,真理奈酱好可爱
あっはあ〜,啊哈啊〜
imanotokoro,imanotokoro
寄生虫アネキ,寄生虫大姐
なつかしい,好怀念
なんでタコピーの声あるねん,为什么有小章鱼的声音
地獄の繰り返し,地狱的重复
家では大人しいのに学校だと元気だッピね,在家很老实但在学校很有精神pi呢
ふわふわことば,轻飘飘的话语
まりなちゃん記憶残ってる,真理奈酱还留有记忆
ふわふわ言葉の横にタフタフ言葉貼ってたりしない？,轻飘飘的话旁边没贴着硬邦邦的话之类的吗？
生きてる,还活着
分からせおじさんとまだ使えるニキに大人気,在懂事大叔和还能用哥里很有人气
まりにゃんかわいいねぇ,真理奈喵好可爱呢
あっはー♡,啊哈—♡
久しぶりに聞いわ,好久没听到了哇
いいママになりそうッピね,会成为好妈妈的pi呢
まりなちゃん...,真理奈酱...
1話とだいぶ印象が変わったな,和第1话印象差好多啊
二人とも救うんだよ,两个人都要救哦
左のガキの顔はなんなんだよｗ,左边小鬼的脸是什么啊w
またこれかよ,又是这个吗
「いじわる」,「欺凌」
生きてるよぉ,还活着哦
おでこ舐めてみたい,想舔额头
つガラス片,给你玻璃片
う～んもとにもどってしまったような,嗯～好像回到原样了
そばにいるよ,在身边哦
ううう,呜呜呜
ジャイアンみてえに言うなよ,别像胖虎一样说啊
おはなし…？,聊天…？
なんも改善してねぇｗ,什么都没改善w
なにそれ？,那是什么？
今日は？,今天是？
タイムパラドックスだ！！！,是时间悖论！！！
おやぁ…？,哦呀…？
ん？？記憶も時系列もめちゃくちゃじゃね,嗯？？记忆和时间线都乱七八糟了吧
タコピーどこにいるの？,小章鱼在哪里？
！？！？！？！？！？！？！？！？？！！？！！？,！？！？！？！？！？！？！？！？？！！？！！？
ドクダミ？？,鱼腥草？？
写真撮った時点だからタコピーは途中までいたことになってるのか,拍照片的时候所以小章鱼是中途在了吗
ドクダミ……？,鱼腥草……？
ジャイアンポジだから仕方ないね,别像胖虎那样
ドクダミ・・・？,鱼腥草・・・？
マリピーをください,请给我真理P
元通りじゃダメやん,回到原样不行啊
ドクダミということはリーディングシュタイナーが,是鱼腥草也就是说Steiner之眼
ん？どぐだみ？,嗯？鱼腥草？
なぜ知っている？,为什么知道？
nn?,nn?
タコピーが復活しない時点で今までのタイムリープとは別物っぽいな,小章鱼不复活的時点で和至今为止的时间跳跃不一样
ドクダミってなんすか,鱼腥草是什么啊
なんのことだよ(すっとぼけ),是什么意思啊(装傻)
今日は？,今天是？
ドクダミ...？,鱼腥草...?
ドクダミ…？,鱼腥草…？
ん？　今ドクダミって言ったよね？,嗯？　刚才说了鱼腥草吧？
ドクダミ！？,鱼腥草！？
どくだみ？,鱼腥草？
ん？？？,嗯？？？
存在しないドクダミ,不存在的鱼腥草
これタコピーのハッピー力使った影響なんかねぇ,这个是用了小章鱼的Happy力的影响吧
？！？,？！？
いじめ解消RTA,欺凌消除RTA
楚々、ここから前回と違う,悄悄地，从这里开始和上次不一样了
ﾊﾅｶﾞｻｲﾀﾖ,花开了哦
ァァァァァァァ良いなぁ…,啊啊啊啊啊啊啊好啊…
うっすら記憶残ってる,隐约留有记忆
あえ？,啊欸？
ん？？？？,嗯？？？？
なんなの？ドクダミって？,是什么啊？鱼腥草？
ﾊﾅｶﾞｻｲﾀﾖ,花开了哦
存在しない記憶が,不存在的记忆
完全に戻っているわけでは無いのか,不是完全回来了吗
また幻術なのか！？,又是幻术吗！？
記憶というか言葉が残ってる感じやろ,与其说是记忆不如说是话语留下来了吧
ドクダミ………？,鱼腥草………？
まりなちゃん、思い出がぁ！！？？,真理奈酱，回忆啊！！？？
魂からのシグナル,来自灵魂的信号
1枚だけボロボロの習字が・・・,只有1张破破烂烂的书法…
どくだみの花言葉は自己犠牲,鱼腥草的花语是自我牺牲
(。´･ω･)ん?,(。´･ω･)嗯?
ひぐらし的な繰り返しによる記憶でもないとおかしいな,要是不是像寒蝉一样的重复记忆就很奇怪了
何故ドクダミ？,为什么是鱼腥草？
タコピー...お前...,小章鱼...你...
記憶持ち越してる？,继承了记忆？
本当は?,其实是?
あ・・・介入してる,啊・・・在介入
今日は...？,今天是...?
Nルート,N路线
突如脳内に流れ出した,突然脑内流出了
タコピーは消えたのではない上の階へ移ったのだ,小章鱼不是消失了是移到上层了
最後のは巻き戻しとは違う何かだったんだろうか,最后的回溯和至今为止不一样吧
記憶の残滓…,记忆的残滓…
ドクダミの花言葉「自己犠牲」,鱼腥草的花语「自我牺牲」
タコピーの力を使ってハッピーカメラで時間を巻き戻したけど、皆の記憶がまだあるってコト！？,用了小章鱼的力量用Happy照相机回溯了时间，但大家的记忆还留着！？
ドクダミ？？,鱼腥草？？
ほんとはしずかちゃんのこと好きだっぴ,其实是喜欢静香酱的pi
世界線違うな,世界线不一样呢
ひぐらし？,是寒蝉？
リーディングシュークリーム,Readingシュークリーム
髪の毛好き,喜欢头发
多分、タコピーの記憶分を関係あった3人で分割して引き継いでる。,大概，把小章鱼的记忆份分给了有关的3个人继承了。
お前の中にもタコピーがいるのか,你心里也有小章鱼吗
意地悪するっぴけど,虽然是欺负你pi
記憶が…！！,记忆…！！
ループしすぎて心がタコピーを覚えてるのかな…,是loop太多次了所以心记住了小章鱼吗…
世界線が,世界线
だからドクダミって何だよ！！！！！,所以说鱼腥草是什么啊！！！！！
ただ元通りな訳じゃないんだよな,不是单纯地回到原样呢
ありゃ,哎呀
誰のこと？,是谁？
ドクダミの花言葉、白い追憶と自己犠牲をここまで昇華した作品2度と出てこないと思う,鱼腥草的花语，白色的追忆和自我牺牲，能升华到这个地步的作品不会再有了吧
あれ？？？,欸？？？
リーディング・シュタイナー,Steiner之眼
ドクダミは死んだよ,鱼腥草已经死了哦
突如まりなに流れたここではないどこか存在した存在しない記憶,突然流进真理奈脑内的，不在这里不存在的存在しない记忆
「言葉を聞き　目を視て　心で感じる」,「听其言 观其目 感其心」
シュタインズ・ゲート入ったな,进入Steins;Gate了呢
リーディングシュタイナー,Steiner之眼
タコピーが居なかった世界線なのに…？,明明是没有小章鱼的世界线…？
なんでドクダミを知ってるんですかねえ,为什么会知道鱼腥草呢
ｊｋまりしずまだ？,JK真理静香还没吗？
ん？？？,ん？？？
おやおやおや,哦呀哦呀哦呀
こういうループの違和感に気づくシーンなんか好き,喜欢这种注意到loop违和感的场景
綴れよ…,快写啊…
タコピー…！？,小章鱼…！？
存在しないはずなのに存在する記憶,本该不存在却存在的记忆
ん？あれ？,嗯？欸？
おやおや？,哦呀哦呀？
リーディングシュタイナーか,是Steiner之眼吗
ドクダミだからDルートだぞ,是鱼腥草所以是D路线哦
エンドレスエイト,Endless Eight
Trueエンドのフラグ建ってる感じ、ゾワゾワする,建好了True End的flag的感觉，毛骨悚然
なにいってんの？w,在说什么啊？w
共鳴しあったか,共鸣了吗
タコピーのハッピー力が薄いからちょっと覚えてるじゃねぇか,因为小章鱼的Happy力很淡所以稍微有点记忆吧
タコピーが居なかった世界線なのに…？,明明是没有小章鱼的世界线…？
存在しないはずなのに存在する記憶,本该不存在却存在的记忆
分岐点,分歧点
なんでやろな,为什么呢
「ひぐらしのなく頃に」のカケラつむぎに近い状態,接近「寒蝉鸣泣之时」的碎片纺织的状态
リーディングシュタイナーな！,是Steiner之眼呢！
突如. まりなの脳内に溢れ出した…存在しない記憶ーーー,突然. 流进真理奈脑内的…不存在的记忆ーーー
タコピーがこの世界に寄生したの？,是小章鱼寄生到这个世界了吗？
ひぐらしでループしまくった結果みたいに,像寒蝉loop太多次的结果一样
なんだ！？,什么！？
おやおやおやおやおやおや,哦呀哦呀哦呀哦呀哦呀
バグってる！,出bug了！
前の記憶が,之前的记忆
覚醒,觉醒
正真正銘の存在しない記憶が,正儿八经不存在的记忆
えーっと,欸—
存在した記憶,存在的记忆
記憶が,记忆
一巡後の世界,一巡后的世界
シュタインズゲート世界線...,Steins;Gate世界线...
ドクダミってなんだよ！,鱼腥草是什么啊！
壊れた道具をタコピーのハッピー力で無理やり動かしたからバグが出てんのか？,因为用小章鱼的Happy力强行驱动了坏掉的道具所以出bug了吗？
Ah～～!ゴミカス～～!,Ah～～!垃圾渣滓～～!
存在しなかった記憶,不存在的记忆
タコ「無かったことにしてはいけない」,章鱼「不能当成没发生过」
タコピーが巻き戻しと同時にいなくなったから正しく巻き戻しになってないのよね,因为小章鱼在回溯的同时不在了所以没能正确地回溯呢
じゃあ殺された時の記憶も？,那被杀了的记忆也？
👴🏻ありがとうございます,👴🏻谢谢
ん？あ？,嗯？啊？
あれ、おぼえ………てる？,欸，记………得？
微妙に記憶を残すとはタコタコ星人なかなかやりおるな,微妙地留下记忆，章鱼章鱼星人还挺行的嘛
あれれ？,欸咧咧？
奥にワイがおるやんけ,里面有我嘛
タコピーがいた世界線の残滓が残ってるのか,是留下了小章鱼在的世界线的残滓吗
雛見沢症候群回避,回避了雏见泽症候群
もっとなじって！,再多骂骂！
存在しない記憶…［・_・］,不存在的记忆…［・_・］
おまゴミ,你这垃圾
リーディングシュークリーム,Readingシュークリーム
ごみかす＝タコピーの名前,垃圾渣滓＝小章鱼的名字
まりなちゃんに心境の変化が,真理奈酱的心境有变化了
なんや？精神干渉か？,什么？精神干涉吗？
ありがとうございますッピ,谢谢pi
これ殺された記憶も残ってない…？,这个被杀了的记忆也没留下来…？
ありがとうございますっピ！！,谢谢pi！！
ちょっとした違和感？が人間に残るのってパラレルワールドの記憶なのかな？,小小的违和感？留在人身上，是平行世界的记忆吗？
タコピーの犠牲により奇跡が起きた,因小章鱼的牺牲而发生了奇迹
前原圭一,前原圭一
リーディング・シュタイナーが…,Steiner之眼…
少し変わったか？,稍微变了吗？
おまカス,你这渣滓
特級巻戻士しずか,特级回卷士静香
まりなちゃんはツンデレ,真理奈酱是傲娇
タコピーすげぇえええ,小章鱼好牛逼啊啊啊
リーディングシュタイナー？,是Steiner之眼吗？
痕跡が残っているのに期待していいんですかね？,能期待还留有痕迹吗？
ループしても残ってたタコピーの記憶が身体無くなってかかわった人に少しづつ散らばったみたいな？,是loop后留下的记忆，身体没了后分散给了有关的人吗？
圭一やんけ,是圭一嘛
この言葉もパパがママに日常的に言ってる言葉だっピね,这句话也是爸爸对妈妈日常说的话pi呢
だから構文できてて草,所以说构文形成了草
あれ、メガネが…,欸，眼镜…
眼鏡が…！,眼镜…！
記憶が,记忆
なんだ？,什么？
メガネがお兄ちゃんからもらったやつになってる！,眼镜变成哥哥送的那个了！
タコピーにとって大切な子供たち,对小章鱼来说重要的孩子们
友達増えた？,朋友变多了？
新しい眼鏡→兄と和解してる,新眼镜→和哥哥和解了
メガネが違う！！オクトパスエフェクトが起きている！！,眼镜不一样！！发生了Octopus Effect！！
東君眼鏡が！？,东君眼镜！？
これは兄貴と和解した東君？,这是和大哥和解了的东君？
エグいて,太厉害了
シュタインズ・ゲートをめざせ,目标Steins;Gate
スッゲー！,好厉害—！
ああ今度は自分だけじゃなく「友達」も丸ごと戻したのか,啊啊这次不是只把自己是把「朋友」也一起回溯了吗
友達できたんだ！！！！！！！,交到朋友了！！！！！！！
介入してる,介入了
記憶が…,记忆…
お兄ちゃんと純愛BLしててくれ,和哥哥纯爱BL去吧
タコピーの記憶？,是小章鱼的记忆？
最後じゃない給料で買ってもらったのかな,是用不是最后的工资买的吧
拗ねた,闹别扭了
しれっとメガネ,悄悄地眼镜
眼鏡！,眼镜！
眼鏡変わってるってことは母親もちゃんと話を聞いてくれるようになったのかな,眼镜变了也就是说妈妈也好好地听他说话了吗
新しいメガネしてるぅぅ！！！良かったぁぁぁぁ！！！！,戴着新眼镜！！！太好了！！！
兄ちゃんって呼べてるね,能叫哥哥了呢
直樹ィィィィィ,直树ィィィィィ
🤓,🤓
どういう世界線なんだ,是什么世界线啊
元の世界じゃない、タコピーの妄想世界かな？,不是原来的世界，是小章鱼的妄想世界吗？
友達増えてるやん,朋友变多了嘛
あれメガネが？,欸眼镜？
呪縛解放RTA,咒缚解放RTA
BL嫌い,讨厌BL
メガネ新しくなったね……,眼镜换新的了呢……
???????????????????????????????????,???????????????????????????????????
メガネ！！れ,眼镜！！れ
リーディングシュタイナー,Steiner之眼
ひぐらしのネタあるの草,有寒蝉的梗草
やっと喧嘩出来たんだな…泣,终于能吵架了啊…哭
メガネ,眼镜
不思議ですねぇ,不可思议呢
あずまぁ〜,东〜
兄ちゃんと喧嘩できるようになってる...,能和哥哥吵架了...
ナオキです！,我是直树！
おお、メガネが！,哦哦，眼镜！
「兄ちゃんとケンカしろ」が叶ってる泣,「和哥哥吵一架」实现了哭
眼鏡…！,眼镜…！
タコピーのハッピー力すげぇわ,小章鱼的Happy力太强了
お兄ちゃん元々メガネ買ってくれそうだったもんね,哥哥本来就好像要给他买眼镜了嘛
良くなってる！,变好了！
兄ちゃん呼びに,叫哥哥了
願いがかなったんやな・・・,愿望实现了呢・・・
前と全く同じじゃないのか,和之前完全不一样了吗
喧嘩できたのか…,能吵架了吗…
めがね！！！！！,眼镜！！！！！
ケンカできたんやな,能吵架了嘛
喧嘩でもしてみろって伝わったのか,传达了“去吵一架试试看”吗
もう喧嘩して眼鏡買ってもらってる世界か…良かった良かった。,已经吵过架买好眼镜的世界了吗…太好了太好了。
ケンカしてる！,在吵架！
よかった、、兄弟大事にしろよ,太好了、、要珍惜兄弟哦
お話ししたから度が合ってなかったことも早めに伝えられたんだな,因为聊天了所以度数不合的事也早早地传达到了呢
喧嘩できたのか！？,能吵架了吗！？
メガネええええ,眼镜欸欸欸欸
君の話大事,你的话很重要
お、おまっ目がぁ！目がぁ！,哦、你这眼睛！眼睛！
本当に喧嘩してるの草,真的在吵架草
メガネ？,眼镜？
自分を犠牲にして3人へ少しの記憶を遺した。その少しの後押しが幸せを呼んだ。,牺牲自己给3个人留下了少许记忆。那一点点的推动呼唤了幸福。
ちゃんと喧嘩してる泣,好好地吵架了哭
ちゃんと伝えてる！,好好地传达了！
おう,哦
メガネ変わったな,眼镜变了呢
よかったな；；,太好了；；
ケンカできたんだね,能吵架了呢
おめでとう！！！！,恭喜！！！！
東君が真っ先に救われてるとは……,没想到东君最先得救了……
女たらし,花花公子
昨日ケンカしたばかりなのに度が合ってないと知ったら速攻で眼鏡を買いに行く兄,昨天刚吵完架，知道度数不合后马上就去买眼镜的哥哥
メガネェ！,眼镜欸！
喧嘩できたじゃねえか,不是能吵架了吗
眼鏡が…ケンカが…うおおこれはまさかハッピーエンドあるのか…！？,眼镜…吵架…呜哦哦难道说有Happy End吗…！？
ちゃんと喧嘩できたのか,好好地吵架了吗
「兄ちゃんと喧嘩でもしてみろ」,「和哥哥吵一架试试看」
おおこっちもあるのか,哦哦这边也有吗
喧嘩を！？,吵架了！？
あらあ〜,哎呀啊〜
東君…😭,东君…😭
眼鏡…？！,眼镜…？！
メガネ…,眼镜…
なんかしらんけど全部うまくいったッピ,不知为何全部都顺利了pi
仲良くケンカしな,友好地吵架吧
ちゃんと度が合った眼鏡,度数合适的眼镜
勉強しろ,快学习
メガネがすでに変わってる？,眼镜已经变了吗？
BL？？,BL？？
ぉ・・・,哦・・・
喧嘩しとるやんけ,在吵架嘛
東！！,东！！
めがねが,眼镜
喧嘩できたじゃねえか,不是能吵架了吗
喧嘩しとるやんけ！,在吵架嘛！
シュタインズゲートに至ったか,到达了Steins;Gate了吗
喧嘩できてよかったな,能吵架太好了呢
しっかり影響残す形のタイムリープできたのか,好好地留下了影响的时间跳跃成功了吗
ケンカできてる！！,能吵架了！！
うおおお！！！,呜哦哦哦！！！
眼鏡…,眼镜…
メガネいいまま！,眼镜不错！
「お兄ちゃんいるんだ」からは今まで誰にも話せなかった業が深い,「有哥哥在」能看出来至今为止没对谁说过的业障很深
聖人兄貴と仲良くしろよ！！,和圣人大哥好好相处哦！！
喧嘩してる泣泣,在吵架哭哭
メガネ変わってる…,眼镜变了…
メガネが！,眼镜！
お兄ちゃんと喧嘩できたんだ…,和哥哥能吵架了…
眼鏡！！,眼镜！！
よかったね・・・,太好了呢・・・
メガネ,眼镜
ヘタクソなくせに母ちゃん独り占めして...,明明是个外行却想独占妈妈...
PS4,PS4
7才も歳の差あって喧嘩できるってすごいな。相当健全な関係築けてないと無理よ。,差7岁还能吵架真厉害啊。没建立相当健全的关系是不行的哦。
東くんゲーマーの素養あるのか？,东君有当玩家的素养吗？
忘却バッテリーでは最新ゲームにされたけど許可降りたのか,在忘却バッテリー里被换成最新游戏了，得到许可了吗
ケンカ叶ったんだな,吵架实现了呢
PS4,PS4
まずい! ゲハ豚がまた発狂する！,不妙! Geha猪又要发狂了！
東くんも何か記憶干渉があったのかな？,东君也受到了什么记忆干涉吗？
(ノ・ω・)ノオオオォォォ-,(ノ・ω・)ノ哦哦哦哦哦-
2016年9月15日に発売されたPS4,2016年9月15日发售的PS4
プレステ4ワイも欲しい,PlayStation 4我也想要
お喧嘩できたのか,哦能吵架了吗
PS4の時代か,PS4的时代吗
よし！友達もいるな,好！朋友也在呢
小学生低学年でプレステの良さに気付くとは...,小学低年级就注意到PS的好了...
PS3でACをやれ！,去玩PS3的AC吧！
ちゃんとゲームという息抜きもお兄ちゃんとの交流も出来てるんだな良かった,好好地玩游戏放松和哥哥交流都做到了呢太好了
喧嘩できてよかったね東くん…,能吵架太好了呢东君…
ちゃんと喧嘩できたんだな...,好好地能吵架了呢...
喧嘩できたのか,能吵架了吗
2016はまだps4だったな,2016还是ps4呢
PS4あんの！！？？,有PS4！！？？
皆驚いてるけど、自分は2016年が9年前ということに驚いているよ,大家都很惊讶，但我对2016年是9年前这件事很惊讶哦
プレステなんかだっせぇよな,PS什么的太土了吧
まだ４が最新の時代、switchさえない時代,还是4是最新，连switch都没有的时代
年相応の喧嘩できるようになって…よかった…,能进行符合年龄的吵架了…太好了…
え！！,欸！！
今はSwitch2がそのポジションかな,现在是Switch 2是那个位置吧
ぅわ、遊べるようになったんなら…東くん、めっちゃ成長したな…。,哇，能玩了的话…东君，成长了好多啊…。
もしかして潤也ゲーム系全般下手？,难道润也游戏全都不擅长？
モンハンの伏線かよ,是怪猎的伏笔吗
まずうちさぁプレステあんだけど,首先我家啊有PS
プレステは名前出せるのか,PS能说出名字吗
おれスイッチあるよ(1),我有switch哦(1)
ソフトはアフリカしかないんだよな・・・,软件只有非洲就是了・・・
自分も持ってるよ！,我也有哦！
これ2025年だったらSwitch2なんだろうな,这个要是2025年的话就是Switch 2了吧
喧嘩できて良かったな,能吵架太好了呢
PS5買おうぜ,买PS5吧
※PS5発売は2020年です,※PS5发售是2020年です
あれメガネ変わってる！,欸眼镜变了！
PS5と時間を感じる,PS5和时间感
うちはSwitch派です❗️,我们家是Switch派❗️
でもメガネは,但是眼镜
メガネ,眼镜
まりながいじめしなかったバタフライエフェクト,真理奈不欺凌的蝴蝶效应
今の小学生はプレステ知らないからな,现在的小学生不知道PS呢
あずまくん,东君
俺PS40,我PS40
ＳＥＧＡなんてダッセーよな！,SEGA什么的太土了吧！
2016年ですよ？↓,是2016年哦？↓
子供時代と言えばスーファミじゃないのか・・・,说到儿童时代不是超任吗・・・
FPS低すぎィ！,FPS太低了！
喧嘩してるやんけ,在吵架嘛
でもプレステだとポケモンできないし…,但是PS玩不了宝可梦…
喧嘩できたか,能吵架了吗
友達が,朋友
お前ん家、SONY派か！？,你家，是SONY派吗！？
ワイんちゲーム＆ウォッチあるで,我家有Game & Watch哦
β世界線か,是β世界线吗
眼鏡買ってもらってる,买到眼镜了
PS4発売日:2013年11月15日,PS4发售日:2013年11月15日
うわぁプスだぁ！！,呜哇啊是PS啊！！
ありがとうSONY,谢谢SONY
まじ！？,真的！？
フォー君,フォー君
微笑ましいねぇ,真温馨呢
プレステ5ないの！？,没有PS5吗！？
わいはPS5持ってるで！,我有PS5哦！
プレステ２しか持ってない...,只有PS2...
あるの？！,有吗？！
SEGAなんてだっせーよな、東君ち行ってプレステ4やろーぜ,SEGA什么的太土了吧，去东君家玩PS4吧
喧嘩できたんだね…,能吵架了呢…
もう3年したらSEKIRO買おうな東くん,再过3年买SEKIRO吧东君
ハッピー力でSSR確率アップ,用Happy力让SSR概率up
直樹！直樹！,直树！直树！
タコピーのハッピー力、魔法か？？,小章鱼的Happy力，是魔法吗？？
東くんは救われた,东君得救了
すげー、家にはセガマーク３しかないのに,好厉害—，我家只有SEGA Mark III
ブラッドボーンやろうぜ,玩血源吧
日本での発売日　2014年2月22日,日本发售日　2014年2月22日
異世界おじさん「セガサターン・・・ドリームキャスト・・・」,异世界叔叔「SEGA Saturn・・・Dreamcast・・・」
東君は光の世界に進めるから……。,东君能走向光的世界所以……。
いいなぁ！！,真好啊！！
れ,れ
え、10年前プレ４…？,欸，10年前PS4…？
PS4って10年以上前に発売してたのね…,PS4是10多年前发售的呢…
まだ４の時代か,还是4的时代吗
イイイイイイイヤッ!!!,咿咿咿咿咿咿呀!!!
タコピー、お前何をやったんだ・・？,小章鱼，你干了什么・・？
おじさんの家にはねえ、ネオジオがあるよ！,叔叔家啊，有NEO GEO哦！
2016年の話だから、PS4Proがこの秋に出る,是2016年的事，PS4 Pro是这年秋天出的
帰ってプレステやろーぜ!,回家玩PS吧!
4？,4？
Switch2あります,有Switch 2
セガサターンって知ってる？,知道SEGA Saturn吗？
やっぱセガよりプレステだよな～,果然比起SEGA还是PS啊～
まだスイッチ発売してないからPSがステータスとして機能してた,还没发售switch所以PS还能当身份象征
おっとっと,哦哆哆
ウチはサターン派なので･･･,我们家是Saturn派所以･･･
うちはプレステしかない,我们家只有PS
セガのハードは？,SEGA的硬件呢？
とりあえずホットケーキ母さんがいなくなればいい,总之松饼妈妈不在就好了
しずかちゃんより強いプレステ,比静香酱还强的PS
2016年はPS4か,2016年是PS4吗
PSなど負け組ハード,PS之类的输家硬件
エリート一家の東家は確かに任天堂はやらなさそう,精英一家的东家确实不像会玩任天堂
ゲーム機という絆,游戏机这个羁绊
終わった...,结束了...
あぁ2016年だったな,啊啊是2016年呢
東くんちでスプラトゥーンやろうぜ！,去东君家玩Splatoon吧！
綺麗に救ってるぞ！,漂亮地救了！
転売ヤーが猛威を振るう前か…,是黄牛猖獗之前吗…
すっご,好厉害
セガサターンって古っw俺はドリキャス派だぜ？,SEGA Saturn太老了吧w我是DC派哦？
ソニーは俺たちに夢をくれる,SONY给了我们梦想
フロムゲーすすめるなw,别推荐From Game了w
一緒にやるPS4とは,一起玩的PS4是
PS4は2013年発売,PS4是2013年发售
お労しや...SEGAの亡霊たちよ...,真可怜啊...SEGA的亡灵们...
まだソニーが輝いていた頃。まさか未来でああなると誰もおもうまい...,还是SONY闪耀的时代。谁都没想到未来会变成那样...
この頃は４が最新だったか,这个时候是4最新吗
ここGeminiのロゴ,这里是Gemini的logo
今度一緒にやろうよ(FF15),下次一起玩吧(FF15)
お話したっピ,聊天了pi
自宅でゲームできるなら親子関係も大きく変わっているね,能在家里玩游戏的话亲子关系也大大改变了呢
2016年だからな,因为是2016年嘛
虹色だ,是彩虹色
まだPS5未登場か…,还没登场PS5吗…
2016だもんね,是2016年呢
ハートじゃなくて星が宿ってるの好き,喜欢不是心形是星星
PS4は今でも最新ハードだゾ,PS4现在也是最新硬件哦
スイッチは？,switch呢？
昔のファミコンみたいなノリいまだにあるのか,以前FC那样的氛围现在还有吗
そんなに高かったっけps4,有那么贵吗PS4
目に光が宿った,眼中有了光
友達〜,朋友〜
友達できたね,交到朋友了呢
東くんはもっと友達とと遊ぶべきだったんだよな,东君本该多和朋友玩的
ハッピー道具よりもずっと役に立つPS4、やっぱSONYってすげぇや,比起Happy道具更有用的PS4，果然SONY好厉害啊
ゲーム機は時代設定表現するのに便利,游戏机用来表现时代设定很方便
眼鏡が新調されてるから、兄と喧嘩して母親ともある程度改善したんやな,眼镜换新的了，所以和哥哥吵架和妈妈也有一定程度的改善了吧
steam以外ゴミだろ,steam以外都是垃圾吧
立ち上がれ、湯川専務,站起来，汤川专务
ワイ初代PSで同じ展開になったトラウマが・・・,我初代PS有过同样展开的心理阴影・・・
すげええ,好牛逼啊
よかった…,太好了…
おじさんだったらサターンだった,要是叔叔的话就是Saturn了
友堕ち,友堕ち
SWITCH発売の半年前くらいのお話,SWITCH发售半年前左右的事
東くんグループにかわいい女子が一人だけいるんだけど！？,东君的小组里只有一个可爱的女孩子！？
やっぱコイツ星野家か,果然这家伙是星野家的吗
ええなぁ,真好啊
PS5はタコピーでも、どうしようもないから泣いちゃうぞ…,PS5就算是小章鱼也没办法会哭的哦…
プレステ４鬼つええ！！,PlayStation 4强得像鬼一样！！
フォー君大人気だね…,フォー君很受欢迎呢…
一緒にゲームできる友達,能一起玩游戏的朋友
3DSしかないキッズも多かっただろう,只有3DS的小鬼也很多吧
きっかけは本当に小さなことだった,契机真的是很小的事
本当に必要なのは友達だった,真正需要的是朋友
SEGAのハードを選んだやつがこんな世界に行けると思うなよ,别以为选了SEGA硬件的家伙能去这种世界哦
すげーさすが医者の息子,好牛—不愧是医生的儿子
承認欲求満たされて良かった,认同欲求得到满足太好了
ソニーはエンタメ業界最強だからな,因为SONY是娱乐业界最强啊
PS4一緒にできるゲームなくね？,PS4没什么能一起玩的游戏吧？
ドリキャスならはぶられてた,要是DC的话就被排挤了
まずいゲハカスが暴れ出すぞ,不妙Geha渣要开始闹了哦
セガなんてだっせーよな,SEGA什么的太土了吧
上の世代を扱き下ろすのにも便利ですよねゲーム機（白目）,用来贬低上一代也很方便呢游戏机（白眼）
ワシが小さい時も「スーパーファミコンあるのすげー」ってなってたのう,我小时候也是「有超任好牛逼」这样呢
ゲーム機あるやつの家に集まるあるある,聚在有游戏机的人家里的常事
よかったな東君…,太好了呢东君…
中学になったらこの女の子が他の女子からいじめられそう,上了中学后这个女孩子好像会被其他女生欺凌
あの頃ゲーム機は簡単に友達を作れる強力なツールだった,那个时候游戏机是能简单交到朋友的强力工具
地味に眼鏡が変わってる,不经意间眼镜换了
友達だって作らなかったって言ってた東君も報われたんやな...,说着不想交朋友的东君也得到回报了呢...
小学校のヒーロー,小学的英雄
友達ができる求められる　ほんの小さなきっかっけでここまで人生が変わる,能交到朋友被需要 仅仅是小小的契机人生就能改变这么多
2016だから現役か,因为是2016所以是现役吗
うちコントローラーだけあるんだよね,我家只有手柄呢
家族以外に居場所が出来たんだ,有了家人以外的容身之处了
友達作れそうで良かったね,能交到朋友太好了呢
タコが運命に介入,章鱼介入了命运
東やり直しルート,东重来路线
キノコ糸目,蘑菇眯眯眼
みんなうっすら記憶が残ってるのね,大家都有点留下记忆了呢
「友達」というのが実は出てきていなかったんだよな要素として,「朋友」这个要素其实至今都没出现过呢
ワイもヤらせてくれ,也让我上吧
まだ５が無い時代か,还是没有5的时代吗
喧嘩できたんだなぁ,能吵架了啊
PS4勝利世界線？,PS4胜利世界线？
やっぱ金持ちはゲームとかで友達出来るもんだよな,果然有钱人都是靠游戏之类的交朋友的呢
WiiU君とPS3君はコケちやったけど次世代機は良いハードになってくれたなぁ...,WiiU君和PS3君虽然失败了，但次世代机成了好硬件呢…
キラキラが,闪闪发光
些細なことで兄貴と同じ光を宿せる子じゃったか,是能因小事而寄宿哥哥一样的光的孩子吗
