就是这张脸,この顔です
因为从木星回来累了…,木星帰りで疲れてるから…
简直就是宗教劝诱温床的活动吗,いかにも宗教勧誘の温床なイベントか
这传单，巧妙地做成了自然灵修系伪装团体风格，让人慢慢上头,このチラシ、うまーく自然スピ系ダミー団体風に仕上がってるのがじわじわくる
在孩子面前大声吵架真的会扭曲的快住手(经验者同感),子供の前で大声で喧嘩するのマジで歪むからやめろ(経験者並感)
这劝诱传单的「天然素材」「HANDMADE」「for earth」完全就是有机→灵修欺诈，没救了…,この勧誘チラシの「天然素材」「ハンドメイド」「for earth」がモロにオーガニック⇒スピリチュアル詐欺なの救いが無い…
寄生虫的称呼是在这里学会的吗…,寄生虫て呼称はここで覚えたか・・・
流苏：窗帘的那个。但是这个场面描绘了「以孤独主妇为目标的有机欺诈」的冰山一角。,タッセル：カーテンのアレ。ただしこの場面では「孤独な主婦を狙ったオーガニック詐欺」の片鱗を描いている。
这里的传单写着「用ECO素材制作的流苏教室 for earth」呢，相当可疑的地方啊,ここのチラシ｢ECO素材で作るタッセル教室 for earth｣って書いてあるのね中々怪しいとこだな
流苏教室，对母亲来说是地狱般日常中的小小乐趣吧，想到这就难受,タッセル教室、お母さんにとっては地獄みたいな日常の中のささやかな楽しみだったんだろうなと思うと辛い
说这集是和平回的家伙是谁啊,平和回って言った奴誰だよ
连做流苏都不允许啊w,タッセルを作るのも許さないんだなｗ
寄生虫，,寄生虫、
你的女儿…,あなたの娘さん…
胡子男太差劲了,ヒゲマン最低だな
啊是这个啊,あっこれかあ
这里是作中最真实最痛苦的，总之和人合不来的感觉很痛苦,ここ作中で一番リアルで辛い、とにかく人と噛み合わないの苦しい
比想象中爸爸不吓人啊,思ったよりパパ怖くないな
别用骂倒回敬骂倒只会变成泥潭,罵倒に罵倒で返すな泥沼になるだけだ
流苏就是流苏哦,タッセルはタッセルだよ
不是澡堂是夜总会吗,風呂じゃなくキャバか
沉迷灵修的母亲，和迷上陪酒女的父亲。地狱,スピってる母親に、キャバ嬢に入れ込んでる父親。地獄
没说是夜总会狂的温柔,キャバクラ狂いとはいわないやさしさ
别炫耀自己的辛苦…,自分の苦労はひけらかすなと､､､
「寄生虫」呢…,「寄生虫」ね…
回去,もどれ
真的能明白孩子是看着父母长大的,ほんと子供は親をよく見て育ってるってわかる
对啊！对啊！,そうだ！そうだ！
这个没胡子的男人啊…,このヒゲ無しマンさぁ…
还是关在木星里比较好吧,木星に閉じこもってたほうがマシだったか
没胡子的胡子男,ヒゲナシヒゲマン
和茉莉奈发火的样子一模一样,まりなのキレ方とそっくり
这个毛茸茸的就是流苏。好像是装饰窗帘或者布料边缘的那个东西的名字…,このふさふさがタッセル。カーテンとか布の端っこを飾るアレの名前・・・らしい
啊啊……太地狱了……….,あぁ……地獄すぎる……….
好了，茉莉奈的暴言是遗传自母亲的,はい、マリナの暴言は母親譲りでした
在这里第一次知道流苏,ここでタッセル初めて知ったわ
全体国民一起逮捕茉莉奈爸爸！,国民全員でまりなパパを逮捕しろ！
那是被允许的只有单身独居的家伙。有了家庭就必须给家里生活费啊,それが許されるのは一人暮らしで独身の奴だけだ。家庭を持ったら家族に生活費を入れなきゃならないのさ
哔欸…,ﾋﾟｪ...
说「就是这样」的家伙没事吧？,それはそうって言ってるやつだいじょぶ？
恶质流苏,悪質タッセル
是因为去了可疑的教室所以用自己的钱去夜总会了吗 还是因为去了夜总会所以寻求治愈去了可疑的教室 哪个在先都是地狱啊,怪しい教室に言ってるから自分の金でキャバ行ったのか　キャバに言ったから癒しを求めて怪しい教室に通ったのかどっちが先でも地獄だな
那就别结婚啊,じゃあ結婚すんなよ
诶？声音是胡子男？,え？声髭マン？
真的就是,ほんとそれ
用流苏对章鱼P直接攻击！！,タッセルでタコピーにダイレクトアタック！！
我回来了,ただいば
已经完蛋了啊这个家庭,もう終わりだよこの家庭
说「就是啊」的家伙们牙白啊，那可是去了夜总会哦？,それなとか言ってる奴らやばいな、キャバクラ行ってんだぞ？
嘛，话是这么说,まあ、それはそう
毫无理由的暴力袭击了茉莉P！,特に理由のない暴力がまりピーを襲う！
只要没在婚前协议里提前规定就是共同财产哦♡,婚前契約であらかじめ決めない限り共有財産ゾ♡
好了出来了，男人特有的DV优越感,はい出ました、男特融のDVマウント
↓比男人赚得多就没人抱怨了哦ww对猪肉盖饭桑来说是不可能的事吧w,↓男より稼げば誰も文句言わないぞｗｗ豚丼さんには無理な話だがｗ
是搞笑吗？,ギャグかな？
NICE SHOT,ナイスショット
这是个垃圾老爸☆,これはクソ親父☆
流苏！没事吧！！,タッセル！大丈夫か！！
章鱼P弱得像鬼！,タコピー鬼よええ！
流苏的攻击力不会太高了吗…,タッセルの攻撃力高すぎやしませんかね・・・
章鱼P——————！！！！！,タコピーーーーーーーー！！！！！
STRIKE!,ストライーク!
容忍了全职主妇并结婚的人不该说这种话,専業主婦を容認して結婚した人がそれを言ってはいけない
流苏强得像鬼！,タッセル鬼つええ！
夜总会是没法辩解的哦,キャバクラは言い訳できんぞ
没有比「自己的钱」更能判断父亲的方便词了,「自分の金」ほど父を判断するのに便利な言葉はない
GoDedil,GoDedil
看着好痛…,痛そう…
CLEAN HIT 草,クリーンヒットで草
哦噗,おふっ
只看这里的话是搞笑漫画,ここだけ見るとギャグマンガ
之后STAFF要好好地美味享用哦？喂,ちゃんと後でスタッフが美味しくいただけよ？コラ
意外地还嘴好好笑,割と言い返すのウケる
在刚才的场景说草的家伙很适合看这部作品哦,今のシーンで草とか言ってる奴この作品観るの向いてるよ
盘子没碎？,皿割れてね？
我也不知道,わいもしらん
速度感很搞笑，大概是故意的吧,スピード感がギャグなんだけど、多分わざとだろうな
两边都有错，啊…。,どっちもどっち、だなぁ…。
茉莉奈酱的词汇力是在夫妻吵架中培养的啊,まりなちゃんの語彙力は夫婦喧嘩で培ったんだなぁ
安心的小原桑的肮脏声音,安心の小原さんの汚い声
从傍晚开始就是这个状况吗,夕方からこの状況かよ
啊啊…,ああ...
咕欸ー,グエー
海酱「哈？」,うみちゃん「は？」
被气势带着看像搞笑一样但冷静一看好过分啊,勢いに押されてギャグっぽく見えてたけど冷静に見たら酷えな
茉莉奈酱的妈妈每天都做饭的啊…,まりなちゃんのお母さん毎日手料理なんだよな・・・
流苏强得像鬼！,タッセル鬼つええ！
好痛啊,いたぁい
肮脏的胡子男,きたないヒゲマン
流血了哦,血でたぞ
好可爱,かわゆ
但是老婆去工作了的话那又会抱怨的吧？,でも嫁が働いたらそれはそれで文句言うんでしょう？
灰　色　的　果　实,グ　リ　ザ　イ　ア　の　果　実
正如日本的GENDER GAP指数所证明的,日本のジェンダーギャップ指数が証明しているとおり
章鱼P的血也是红的呢,タコピーの血も赤なんだね
扔东西的父亲真的快住手,物投げる父親ほんまやめろ
流苏是什么,タッセルってなに
奥路欧桑！？,オルオさん！？
变身了的话血的颜色也会变吧？,変身してると血の色も変わるんじゃね？
想吃炒饭啊,チャーハン食べたいな
鼻血————,はなじいいいいいい
流苏呜呜呜,タッセルううう
1 KILL,1キル
刚才那个时候就当死了就好了,さっきのでしんだ事にすればよかったのに
那个装饰意外地重啊,意外と重たいんだなあの飾り
流苏强得像鬼,タッセル鬼つええ
常见的DV家庭,よくあるDV家庭
别　　　笑　　　啊,笑　　　う　　　な
是中国之类的穗饰嘛,中国とかの房飾りやん
因为是再现了人类的身体，所以章鱼P有没有流血也不知道吧？,人間の身体を再現してる訳だから、タコピーに血が流れてるかはわからなくね？
笑嘻嘻,にこにこ
流苏不是挂窗帘的钩子吗,タッセルってカーテン吊り下げるフックじゃないのか
这是父亲的错啊,父親が悪いなこれ
不是擅自哦,勝手ではないよ
不行,無理
茉莉P不错啊,まりぴーいいな
茉莉奈酱穿长袖是因为像现在这样手臂上也有伤吗？,まりなちゃんが長袖なのって今みたいな感じで腕とかにも傷があるから？
孩子们无法逃脱大人的影响,子供たちは大人の影響から逃げられない
男人对女性不当地,男は女性を不当に
章鱼P会流血啊,タコピー血出るんだ
笑嘻嘻,にこにこ
掌握了流苏是投掷武器这件事,タッセルが投擲武器ってことは把握した
笑嘻嘻的让人安心,ニコニコは安心する
能赚钱是因为有这样帮忙做家务吧,稼げるのはこうやって家事やってもらってるからだろ
垃圾,ゴミ
有些地方听起来像间宫桑的声音，好厉害,ところどころ間宮さんの声に聞こえる、すごい
从舰长到流苏,艦長からタッセル
女儿不是已经死了吗,娘はもう死んだじゃない
笑容哦哦哦哦哦哦哦哦,えがおおおおおおおおおお
从社会地位高的职业中排除了,社会的地位の高い職から排除しています
你平时不就在打女儿吗ー,お前は普段から娘殴ってるやないかーい
章鱼P,たこぴー
那个ー您家女儿已经死了哦ー,あのーオタクの娘さん死んでますよー
那里还是会担心的啊,そこは心配するんだ
相信GENDER GAP指数的时点就已经是头脑HAPPY星人了,ジェンダーギャップ指数信じてる時点でもう頭ハッビー星人
你也在扇耳光啊,お前もビンタしてるんだよなぁ
嗯嗯,うんうん
演技看起来很开心,演技楽しそう
从这份冷静能看出是假哭呢,この冷静さで嘘泣きってわかるな
你这垃圾父母没资格说,おめぇがいうなよクソ親
啊ー这是玻璃碎片的前奏吗,あーこれガラスの破片の前振りだったのか
男人脸上受伤了怎么办,男でも顔に傷付いたらどうする
记住这句台词吧,この台詞覚えておきましょう
哪张嘴说的,どの口が
嘛反正里面是章鱼P就算了吧,まぁ中身タコピーだからいいかぁ
呜啊、、、,ぅあぁ、、、
明明自己会打人，别人伤到女儿就过度反应，真是歇斯底里母亲的样子,自分は殴ったりするくせに人が娘を傷つけると過剰反応するの、実にヒス母親しぐさ
这个母亲好真实啊 让人火大,この母親リアルだな　イラッとする
一応是伏笔吗,一応伏線か
也不是说只要不是脸就行哦…,顔じゃなければ良いってわけでもないぞ…
×→男生脸上受伤也不好,×→男子でも顔に傷が付くのは良くない
戴上眼　心　的头带就SAFE,眼　心　のハチマキすればセーフ
只要脸上不受伤就行了是吧,顔に傷がつかなければいいんすねえ
这可不只是划伤的问题啊,傷どころじゃないんだけどね
不管是不是女孩子脸上受伤了都是问题吧你这过时的家伙,女の子じゃなくても顔に傷が付いたら問題だろ時代遅れがよ
比起担心更是用来责备的材料啊,心配よりも責めるための材料だよなあ
此外日本是女性歧视社会是一般常识吧,その他日本が女性差別社会である事は一般常識でしょう
※之后会明白这只是在迁怒,※当てつけで言っているだけだと後で分かります
啊…这句台词…,あ…このセリフ…
已经不是受伤的程度了啊…,傷どころじゃないんだよなぁ…
好了ー脸上有伤 这里很重要,はいー顔に傷　ここ重要です
不是脸就行吗？,顔じゃなければいいのけ？
你没资格说,おまゆう
手表是OMEGA吗……,腕時計オメガか......
磨磨唧唧的好烦,うじうじうざい
「脸」呢,「顔」はね
结果论好吵啊,結果論うるせぇよ
有东西飞过来还笑嘻嘻的太奇怪了吧w,なんか飛んできてニッコニコはおかしいやろw
嗯ー这个垃圾老爸,うーんこのクソ親父
意外地还嘴 草,結構言い返すの草
这里连茉莉奈的爸爸都流冷汗了呢,ここ流石のまりな父も冷や汗かいてるな
不是章鱼是Ω,タコではなくΩ
但已经死了哦？,でももう死んだよ？
Balalaika,バラライカ
不是有伤吗？？,傷は着いてるくね？？
本体头部可是受了重伤呢,本体は頭部にデカい傷を負ったんですけど
感觉不行了呢…,ダメそうですねぇ…
用那个啊章鱼P，那个…用来上吊的那个,あれ使いなよタコピー、あの…首吊るのに使ってたやつ
女儿脸上有伤什么的普通来说男方家长会比妈妈更敏感吧,娘の顔に傷とか普通オカン以上に男親の方が敏感なりそうなモンやけどねぇ
PSYCHO PASS章鱼P,サイコパスタコピー
正品可是受伤了呢,本物は傷がつきましたけどね
那里的茉莉奈没事呢,そこのまりなは大丈夫だな
这边也会着急吗,こっちも焦りはするのか
老公是空调24℃…,旦那は冷房24℃…
太差劲ー,さいてー
本体已经不行了www,本体はもうダメだがなｗｗｗ
好了结果论,はい結果論
那个先不说还是道个歉吧,それはそれとして謝ろうか
考虑到那点，男人赚钱是理所当然和义务,それを踏まえれば、男が金を稼ぐのは当たり前で義務
头不是很结实啊,頭はあまり丈夫じゃなかったんだよな
空调不冷吗？,冷房寒くない？
那只是结果论吧,それただの結果論ですよね
这个母亲也做着同样的事呢…,これ母親も同じようなことやってんだよね...
让这种家伙就算是在家里拥有权力也不会有什么好事,こうゆう奴に家庭内とはいえ権力持たせたら碌なことにならん
↓好了男性歧视,↓はい男性差別
没事（已故）,大丈夫（故人）
那里的茉莉奈没事呢,そこのまりなは大丈夫だな
24度。不愧是有钱人,24度。流石金持ち
←和好缎带，该有更好的说法吧,←仲直りリボン、もっとなんか言い方あったろ
反正茉莉奈酱不会再受伤了所以放心了呢！,これ以上まりなちゃんが傷つくことはないから安心だね！
24℃什么的贵族吗,２４℃とか貴族か
真正的女儿头部受了重伤已经死了哦,本当の娘は頭部にとんでもねぇ傷負って死んでますよ
与其说是一样的…,同じようなというか･･･
24.0度,24.0度
没打脸吗？,顔殴ってなかった？
好凉快啊,涼しいっすね
这个场景配上声音好难受啊,このシーン声付くときついな
让孩子受伤了还不冷静看来是老手了呢,子どもにケガさせて冷静にならないあたりベテランさんだね
总觉得猪肉盖饭女在发狂 草啊,なんか豚丼女が発狂してて草ァ
配合男人的空调设定温度,男に合わせた冷房の設定温度
嘴上说着担心的话两个人却连看都不看孩子一眼好可怕皮,口では心配発言しつつ二人とも子供の方を向いてさえいないの怖いっピ
作为男人和女人的吵架完成度太高了皮！,男と女の喧嘩としての完成度が高すぎるっピ！
好凉快,涼しい
没事吗？,大丈夫でしたか？
没关系…吗？是吗？也许吧…,だいじょうぶ…かなあ？そうかな？そうかも…
想让这个父亲和静香酱见一面 想试试静香酱的魔性对他有没有用,この父親にしずかちゃんを会わせたい　しずかちゃんのましょうが通用するのか試したい
老妈在说什么呢,オカン何言うてんねん
不明白这不是该施恩图报说的话,恩着せがましく言う事じゃないのが分かってない
24度好冷,24度は寒い
这说法真让人火大啊,この言い方ほんま苛立つな
从担心自家孩子的话题偏到赔偿金上去了啊。能看出母亲的言行也有问题。,我が子の心配の話から慰謝料へと論点がズレていってるな。母親の言動にも問題があると伺える。
冰冷的24度,冷え切った24度
母亲的这种说法也感觉怪怪的,母親のこの言い方もなんかズレてる
章鱼P现在才是上吊缎带出场的时候啊,タコピー今こそ首吊りリボンの出番だぞ
也请您到法院来！,裁判所にも来てもらいます！
说出赔偿金之类的太烦了,慰謝料とか言い出すのはだるすぎる
空调不强吗？,冷房強くね？
也请准备好赔偿金！,慰謝料の準備もしておいて下さい！
那么轻的东西还真能笔直地扔出去啊,あの軽そうなものをよくまっすぐ投げれたな
赔偿金什么的啊…,慰謝料とかさぁ...
24℃什么的不会冷得要死吗？,２４℃とかくっそ寒くない？
是说如果弄伤了的话,ついたらと言っている
24℃,24℃
钱钱钱！作为父母不羞耻吗！！,金金金！親として恥ずかしくないのか！！
赔偿金也要求赔偿！,慰謝料も請求します！
这老妈在说什么呢…,このオカン何言うてんねん…
妈妈也感觉怪怪的,お母さんもなんかズレてる
空调温度好低,冷房低っ
爸爸好像好好道歉了,お父さんちゃんと謝ったっぽい
空调和夫妻关系都冷冰冰的 草,冷房も夫婦仲もヒエヒエで草
孩子当炮灰,子ファンネル
妈妈比想象中不是YES MAN这点慢慢上头了,思ったより母ちゃんもイエスマンじゃないのじわじわくるな
妈妈也不好但爸爸精神虐待役满笑死,母親もよくないけど父親モラハラ役満すぎワロタ
垃圾父母的清晰度太高了,クソ親の解像度が高過ぎる
不是那种问题,そういう問題じゃない
是把自己以外的人都当成敌人的那种人吗,自分以外はみんな敵、な人間か
24度太低了皮,24度は低すぎるっぴ
妈妈九成错,母親が9割方悪い
妈妈也挺疯的,お母さんも結構イカれてるな
作者是体验过这世上所有的毒亲家庭吗？,作者はこの世の全ての毒親家庭を経験したの？
空调24.0℃,冷房24.0℃
沉迷灵修的母亲,スピリチュアルにハマる母親
为什么会变成赔偿金的话题啊,なんで慰謝料の話になんねん
光是这两个人的对话就不断产生槽点好厉害啊…,この二人の会話だけでガンガン突っ込みどころ発生するの凄いな…
爸爸虽然也那样，但要说的话妈妈好像更牙白,父親もアレだけど、どちらかと言うと母親のがヤバそう
妈妈不是一直被压着打，而是会反驳的模式很新颖啊,母親がやられっぱなしじゃなくて、結構反論するパターン新しいな
这种很日本式的男尊女卑的压迫,こういう日本らしい男尊女卑による抑圧
24度,24度
自私的对话,自分勝手な会話
超级色狼条例违反,ドスケベ条例違反
24度也火了啊,２４度もバズったな
这对话好真实好痛苦啊,この会話リアルで苦しいわ
父母的声音演技太高了听着难受,両親の声演技力が高すぎてきつい
拿孩子当借口要赔偿金总觉得有点…,子供をだしに慰謝料取ろうとしてるのなんだかなぁ
为什么不离婚？,なんで離婚しないの？
离,リ
嘛 在这里提出赔偿金什么的确实不行啊。,まぁ確かにここで慰謝料うんぬんを持ち出すのはないわ。
妈妈的声优也是被老公起诉的程度所以也很疯呢,お母さんの中の人も旦那に訴えられるくらいイカれてるからね
在超热的夏天配合工作回来的父亲调低空调温度嘛也算普通,クソ暑い夏に働いて帰ってきた父親に合わせて冷房下げるのはまあ普通ではある
这垃圾父母,このクズ親が
哈,ハ
怒　　　　　　　　笑　　　　　　　　　悲,怒　　　　　　　　笑　　　　　　　　　悲
垃圾和神经病恶魔合体的产物就是茉莉奈酱吗,クズとメンヘラが悪魔合体した産物がまりなちゃんなのか
振作点哪边都不正常啊,しっかりしろどっちもまともじゃねえぞ
空调温度好低…,冷房低いな…
看着这画面我胃都痛了啊？章鱼P快读读空气啊！！！！！！！！！！！！！！,この画面見てると胃が痛くなるんだが？タコピー空気よめや！！！！！！！！！！！！！！
两边都牙白哦,どっちもやべぇよ
是不行的父母啊,ダメな親だな
(・^з^・),(・^з^・)
24度,２４度
2025年的现在还好说2016年不冷吗？w,2025年の今ならともかく2016年だと寒くないか？w
那会朝向的不是现状的男人而是弱者的女性,それが現況の男ではなく弱者の女性に向かう
别笑,笑うな
说话方式！,言い方ァ！
明明能轻松离婚拿抚养费，但因为是全职主妇所以没有那方面的知识吗,余裕で離婚して養育費もとれるけど、専業主婦でそこまでの知識もないのかなあ
在家里发泄工作不顺的类型呢,仕事の憂さを家庭で晴らすタイプね
但是对孩子施暴这点妈妈也一样啊,でも子供に暴力ふるってるのは母親も同じなんだよなぁ
太章鱼渣了 草,タコカスすぎて草
是全职主妇吗,専業主婦かい
SPY×FAMILY 草,スパイファミリーで草
好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕好可怕,こわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわいこわい
茉莉奈酱的词汇太遗传自父亲了,まりなちゃんの語彙が父親譲りすぎる
像是会投给参政党的老爸啊,参政党に投票しそうな親父だな
章鱼P肯定不明白吧,タコピーは分かってないだろうな
在破坏各种东西的家伙没资格说,諸々破壊してる奴が言うな
是缎带该出场的时候了吧！？,リボンの使い所さん！？
两边都差不多呢,どっちもどっちすね
是想要个依靠吧,すがるものがほしいんやな
3个人的感情太不一样了,3人とも感情が違いすぎる
茉莉奈酱的骂人是从父亲那来的啊,まりなちゃんの罵倒は父親からかぁ
同性恋可不行哦！,同性愛はいかんぞ！
针,ハリ
所以才喜欢在工作的陪酒女皮呢,だから働いてる商売女が好きなんだっピね
笑嘻嘻,にっこにこ
讨厌这样的绿色大叔www,こんな緑のおじさん嫌だｗｗｗ
像地狱一样的SPY×FAMILY,地獄みたいなSPY×FAMILY
那个是！！,それってぇ！！
这是什么空间,何やこの空間
不说脏话的话明明能更快说完的…,暴言を入れなければもっと早く言い終われるのに・・・
真是个不得了的精神虐待混蛋啊,とんだモラハラ野郎だぜ
诶，这个爸爸的声优是胡子男的人？,え、このお父さん役ヒゲマンの人？
总觉得两边都差不多…精神虐待的丈夫和拿孩子当盾的母亲,なんかどっちもどっちだな…モラハラ夫と子どもを盾にする母親
最糟糕！,最悪ゥ！
在笑嘻嘻,ニコニコしてる
两边都有错,どっちも悪い
这家伙可以打吗？呐，可以打吗？？,こいつ殴っていーい？ねぇ、殴っていい？？
你不是在打脸吗臭女人,お前は顔殴ってるやろクソ女
对啊对啊！,そうだそうだ！
完蛋的家庭太多了,終わってる家庭がおおすぎる
就算只截取一部分让女性看起来像加害者,一部だけを切り取って女性を加害者かのように見えても
家庭环境完蛋了 草,家庭環境終わってて草
好可怕,怖いって
没有人心某种意义上是最高强的自我防卫吧,人の心が無いってある意味最強の自己防衛なんだろうな
SPY×FAMILY,スパイファミリー
虽然装作正常人但在孩子面前继续争吵的时点父亲也是一丘之貉啊,常識人ぶってるが子供の前で口論続行してる時点で父親も同じ穴の狢なんだよなぁ
章鱼P不朝向自己的恶意是不会懂的呢,タコピー自分に向かないと悪意が分かんないよね
😊,😊
是Niconico的观众吗(^_^),ニコニコ視聴者かな(^_^)
像我爸一样,うちの父親みたい
能死一次吗 章鱼渣,一回死んでくれるか　タコカスよ
跑夜总会是有生产性的吗,キャバ通いは生産的なんスかね
推特女权桑大激怒事件,ツイフェミさん大激怒案件
茉莉奈酱可爱,まりなちゃんかわいい
😊,😊
已经完蛋了猫之星,もう終わりだ猫の星
实际上只要阻止这个老爸去夜总会就能全部解决了啊,実際この親父のキャバクラ通いを阻止すれば全部解決するんだよなあ
一脸佛相,仏の顔してる
为什么不工作？,なんで働かないの？
是模板呢,テンプレだな
太CHAOS了吧…,カオスすぎんだろ・・・
和这个女人在一起的话会积攒压力也没办法啊,この女と一緒にいたらストレスたまっても仕方なねえわ
是愉快的一家呢…,愉快な一家ですね…
这是哪里啊 是地狱吗？,何だあここは　地獄か？
为什么不离婚？,何で離婚しないん？
好垃圾啊,クソやな
也为要应付这种小学生以下水平的异常对话的茉莉奈想想吧,こんな小学生以下の異常会話に付き合わされるまりなの身にもなれ
妈妈怎么了,母ちゃんどしたん
声音里想要更多职权骚扰感,もっと声にパワハラみほしい
真的没戴戒指,ほんとだ指輪つけてない
两边都异常,どっちも異常
妈妈戴着婚戒但爸爸没戴,母親は結婚指輪付けてるが父親は付けてない
脑子没事吧？,頭大丈夫か？
只看这个场景的话看起来像在笑嘻嘻逃避现实的女孩子，这太地狱了吧,このシーンだけ見たらニコニコしながら現実逃避してる女の子に見えるの地獄やろ
爸爸没戴戒指啊,父親指輪してないな
笨蛋啊啊,ばかぁぁ
章鱼P别从现实移开视线快睁眼,タコピー現実から目を逸らすな目を開け
是非生产性的哦,非生産的なんだよ
没想到茉莉奈酱的欺凌台词是父母的混合体…,まりなちゃんのイジメセリフが父母のハイブリッドだったとは・・・
笑嘻嘻,にっこにこ
☺️,☺️
章鱼P精神强得像鬼！,タコピーメンタル鬼つええ！
聊天（暴言）,おはなし（暴言）
这是真的？,これまじ？
你这垃圾章鱼,このカスタコがよ
看脸啊看脸,顔見ろよ顔
聊天=关系好,おはなし=なかよし
实在是太笑嘻嘻了 草,さすがにニコニコすぎて草
哈？,ﾊｧ？
你脑袋是HAPPY SET吗！,お前頭ハッピーセットかよ！
你是笨蛋吗？,あんたばかぁ？
这就是无法对话系的人皮啊,これが会話できない系の人っぴかあ
把家务换算成劳动试试。,家事を労働に換算してみ。
蠢章鱼,アホタコがよ
两边都那样啊…是长年熟成的…,両方ともアレだなぁ…長年熟成されてる…
其背后必有男人,その背後には必ず男がある
拜托了请去读国语词典,お願いだから国語事典読んでください
你不愧是从HAPPY星来的脑袋彻底是HAPPY SET啊，真的看看这家伙们的脸啊是什么表情？你看不到吗？,お前ハッピー星から来ただけあってとことん頭ハッピーセットだなマジでこいつらの顔見てみろよどんな顔してるか？お前目見えないのかよ？
在这种状况下笑太牙白了,この状況で笑うのやばいって
是独生子父母关系又不好就没地方逃了呢,一人っ子で両親不仲だと逃げ場ないよね
好好听内容啊！章鱼！,内容ちゃんときけえ！タコぉ!
看到这光景还能这么想太牙白了,この光景でそう思えるのヤバすぎる
你的眼睛是皮蛋吗,お前の目はピータンか
HAPPY星人好像不知道暴力这个概念，但也不吵架吗？,ハッピー星人は暴力という概念を知らないらしいが、口喧嘩もしないのか？
闭嘴你这章鱼！,黙れこのタコ！
嘛 这么想比较好皮呢,まあそう考えてた方がいいッピね
学学吧,学ぼうか
笨蛋！,ばか！
用那个缎带让他们关系变好啊,あのリボンで仲良しにしろよ
实在是脑袋太HAPPY星人了,流石に頭がハッピー星人すぎる
不对，不是的章鱼P…,違う、違うんだタコピー…
已经不是清晰度低的次元了,解像度低いとかの次元じゃない
为什么会这么想！？,何故そう思った！？
这章鱼耳朵堵住了吗！？,耳詰まってんのかこのタコ！？
开什么玩笑你这章鱼！,ふざけんなこのタコがよぉ！
是吗…是吗…,そうかな…そうかな…
你的伦理观很奇怪哦………(困惑),お前倫理観おかしいよ………(困惑)
难以置信！,信じらんねぇ！
别转换啊www,変換すんなｗｗｗ
越吵关系越好皮呢,喧嘩するほど仲がいいッピね
怎么可能啊章鱼…,んなわけねぇだろタコぉ…
能区别不同生物的声音但听不懂内容,違う生物の声は区別できても内容がわからない
哦…哦,お…おう
脑袋太HAPPY了,頭ハッピーすぎる
实在太勉强了,流石に無理がある
是这样吗？,せやろか？
关◯好,なか◯し
你先被HAPPY照相机打一下吧,お前一旦ハッピーカメラで殴られろ
听起来像是在吼但不可怕吗？,怒鳴ってるように聞こえるけど怖くないの？
这章鱼脑袋坏了吗,頭いかれてんかこのタコ
是这样吗？,せやろか？
是啊，都说人通过不断对话就能互相理解呢www,そうだな人は話し合いを重ねて分かりあえる言うしねｗｗｗ
嗯ー这个脑内HAPPY星人,うーんこの脳内ハッピー星人
这是什么地狱,なにこの地獄
怎么可能啊你这蠢蛋笨蛋,んなわけねえだろこのアホバカ
为什么会得出这个感想,なんでその感想になるねん
是、是啊,そ、そうだな
非常要好（章鱼P基准）,とっても仲良し（タコピー基準）
没长脑子吗,脳ついてねぇのか
关系好？？？,仲良し？？？
就是因为这样外星人才,これだから宇宙人は
因为受不了这空气所以决定当成搞笑动画来看,空気に耐えられないからギャグアニメだと思うことにする
是啊！,そうだな！
这家伙是什么,なんだこいつ
不是关系好呢,仲良しじゃ無いな
哦是啊（错乱）,おっそうだな（錯乱）
为什么会变成那样www,どうしてそうなるｗｗｗ
不是…就算听不懂对话内容，一方气势汹汹地吼另一方在呜咽，不觉得违和吗…,いや…会話の内容分からないとしても片方が凄い剣幕で怒鳴ってもう片方が嗚咽してる事に違和感感じないのかよ…
这家伙在说什么,何言ってだこいつ
不对 草,いや草
HAPPY星的吵架真的是没什么大不了的水平啊,ハッピー星の喧嘩って本当に大した事ないレベルなんだな
伦理观很奇怪哦章鱼,倫理観おかしいぞタコ
大家都不正常哦,みんなくるってますよ
※是HAPPY星人的感想,※ハッピー星人の感想です
这已经是脑袋的镜花水月了吧,これもう頭の鏡花水月だろ
哈？,はあ？
太好了太好了,よかったよかった
真正的茉莉奈说不出的台词,本物のまりななら言えない台詞
这下茉莉奈妈妈的声优也要被磨耗心神了啊,これはまりなママの中の人も心すり減るわな
哈？疯了吗,は？いかれてんのか
？？？？？？,？？？？？？
你这章鱼…,このタコがよぉ…
明明知道吵架这个概念却不认为这是吵架，HAPPY星人的吵架到底有多和平啊……？,喧嘩っていう概念知ってるのにこれを喧嘩って認識しないの、ハッピー星人の喧嘩ってどんだけ平和だったんだ……？
关系好（115分贝）,なかよし（115dB）
这只粉色章鱼在说什么啊,なに言ってんだこのピンクのタコは
????????????,????????????
绕了5圈后这家伙好厉害啊,5周回ってすげーなこいつ
你丫的脑袋是HAPPY SET吗,てめえの頭はハッピーセットかよ
是、是啊皮呢…,そ、そうッピね...
